PROGRAMME,MLCOURSE,INFORET,STATS,DB,GENDER,CHOCOLATE,BIRTHDAY,NEIGHBOR,STAND,STRESSLEVEL,MONEY,RAND,SLEEPTIME ,GOODDAY,GOODDAY_2
CS,no,1,mu,ja,female,neither,10th,0,no,40,70,6,1:00:00 AM,Great weather,Connect with friends or family
AI,no,0,mu,nee,female,neither,april 8th,1,no,47,0.30 euros,3,11:20:00 PM,postive social interactions,voluntary early mornings
Computer Science,no,0,mu,ja,male,fat,14/03/1996,0,no,86,Very much.,"952186458,6",11:52:00 AM,Winning a lottery.,Laughing a lot.
exchange,no,0,mu,ja,male,I have no idea what you are talking about,16/04/1996,0,unknown,61,I do not deserve them.,95,11:00:00 PM,chocolate,good grade
exchange,no,0,mu,ja,male,fat,16/04/1996,0,no,61,99,6,11:00:00 PM,good grades.,smiling a lot.
CS,yes,1,mu,ja,male,slim,1990-08-31,0,no,40,0,5,12:45:00 AM,Sticking to my schedule,making friends
Computational Science,no,0,mu,nee,female,slim,19/01/1993,0,no,15,100/num of students,5,1:00:00 AM,playing pool,seeing friends
Master Computational Science,no,0,mu,nee,female,neither,13-03-1994,0,no,10,2 euros for being present hehe,7,11:15:00 AM,Being outside,Eating healthy
Computer Science,yes,0,mu,ja,female,I have no idea what you are talking about,402,2,no,70,75,5,12:00:00 AM,Finished all assignments,Seeing an update of my favorite TV series
MS CS big data engineering,no,0,unknown,ja,male,neither,11/09/1990,0,no,10,100,163,2:00:00 AM,Sunlights,smoked salmon
Computational Science,no,0,mu,ja,female,slim,04/04/1995,1,no,15,2,464,11:45:00 PM,food,friends
MSc in AI,no,0,mu,nee,female,neither,02-11,0,no,0,50,3,11:30:00 PM,Sleep,Food
CLS,no,0,mu,ja,male,slim,29 Oct,0,no,50,0,100000,1:00:00 AM,Quick breakfast,Coffee
MSc Bioinformatics,yes,0,sigma,ja,male,fat,19-09-1997,0,no,25,100,"68,9",12:00:00 AM,meeting and eating with friends,going to see a good movie
Business Analytics Master,yes,1,mu,ja,female,neither,17-03-1997,0,no,30,1,7,12:15:00 PM,a little bit of sunshine,being with friends or family
Masters in Business Analytics,yes,0,mu,nee,female,neither,28th February,None,unknown,50,50,13,1:00:00 AM,If I get to go to work,If I exercise and eat well
Artificial Intelligence,yes,1,mu,ja,male,fat,01-06-1992,0,no,75,100,8,12:30:00 AM,Cake,Games
Econometrics & Operations Research,yes,unknown,mu,ja,male,neither,17-03-1991,0,yes,60,100,28,10:00:00 PM,sports,friends
Information Science (UvA),yes,1,mu,ja,female,neither,04-01-1996,1,unknown,75,10,7,11:30:00 PM,validation of job,had some exercise
CS,no,0,mu,ja,male,neither,1997.10.12,0,no,60,70,12,11:50:00 AM,Delicious food,Interesting entertainment
Bioinformatics and Systems Biology,yes,unknown,unknown,nee,female,neither,28/2/1995,0,no,70,Less than 100,2,1:30:00 AM,A productive day,Seeing a lot of people
MSc Computational Science,no,0,mu,nee,female,fat,05-02-1997,0,no,20,10,3,12:00:00 AM,Laughing with friends,Doing stuff I like
MSc AI (UvA),yes,1,unknown,nee,female,neither,25-06-1995,0,no,70,0,7,10:00:00 PM,nice food,sun
computer science big data engineering,yes,0,mu,ja,female,I have no idea what you are talking about,"11,3",0,no,80,100,7,8:00:00 PM,work out,work done
Bioinformatics,no,0,sigma,nee,male,neither,18/06/1997,0,no,40,2,43,1:00:00 AM,Rest,Sports
CPS,no,1,unknown,ja,male,fat,1996-09-02,0,no,10,1,5,12:45:00 AM,Productivity,Sports
AI,no,0,mu,nee,female,fat,28-04-1996,0,no,50,10,9,2:15:00 AM,When the weather outside is nice,Spending time with someone I enjoy being around
Msc Artificial Intelligence,no,1,mu,nee,female,slim,05-11-1996,1,no,50,10 euros,73,3:00:00 AM,When I had a good night's sleep,"When I had a nice, tasty breakfast"
Bioinformatics,yes,0,mu,nee,male,fat,1-4-2020,0,no,50,100,1E-36,9:11:00 PM,FIFA11,FIFA12
Business Analytics,yes,1,mu,ja,male,slim,25-03-1995,0,no,40,1,25,4:00:00 AM,Nice coffee,More nice coffee
Business Analytics,yes,1,mu,ja,female,neither,28-04,0,no,40,10,7,11:30:00 PM,Sun,Happiness
Finance & Technology Master,yes,0,mu,nee,male,fat,12-04-1999,2,no,30,100,12,3:00:00 AM,Good Sleep,Good food
MSc Econometrics,yes,0,mu,nee,male,fat,27-06-1996,0,no,40,20,6,2:00:00 AM,Productive,Making love!
Master Forensic Science,no,unknown,sigma,nee,female,fat,19 December 1993,3,no,60,30,19,11:30:00 PM,Chocolate,good weather
AI in Utrecht,yes,0,mu,nee,male,fat,18-08-1997,0,no,100,20,8,12:00:00 AM,not having to fill in questionnaires,beer
CS:Parallel Computing Systems,yes,0,sigma,ja,male,fat,10-02-1996,0,no,50,1,728,3:00:00 AM,I can sleep in,There are snacks in the house
BA,yes,1,mu,ja,male,fat,04/03/1994,1,no,70,8,10,1:30:00 AM,morning coffee,good breakfast
Business Analytics Master,yes,0,mu,ja,female,neither,21-08-1994,0,no,40,50,5,10:00:00 PM,Music,Friends
Business Analytics,yes,1,mu,ja,male,fat,17-09-1997,0,no,0,100,9,2:00:00 AM,Alcohol,Love
Artificial Intelligence,no,0,mu,nee,female,I have no idea what you are talking about,25.09.1995,0,no,40,5,20,12:00:00 PM,meeting friends,nice food
Information Sciences,yes,1,mu,ja,male,fat,16-09-1997,0,no,0,25,7,12:30:00 AM,No stress,Good sleep
Masters Bioinformatics and System Biology,yes,0,mu,nee,male,fat,08/07/1993,0,no,75,0,3587,08:00:PM,feel relax and motivated,keeping the relations I should keep
AI,no,1,mu,ja,female,slim,31-05-1997,1,no,25,5,9,11:00:00 PM,Chocolate,Playing games with friends
AI,yes,1,mu,ja,male,fat,13-02-1997,0,no,20,"Not at all, you should win it",3,11:15:00 PM,Making progress on something,Seeing friends
Computer science,no,1,mu,ja,female,neither,19/02,0,no,75,100,5,7:00:00 PM,Sun,Stay outside
Fintech,yes,0,mu,nee,male,fat,6-12,0,no,35,1/500,9,12:30:00 AM,Breakfast,Good sleep
Erasmus,yes,1,mu,ja,unknown,neither,13.02.1992,2,no,69,100,420,11:30:00 PM,Sun,Sport
AI,yes,0,mu,nee,male,fat,01-03-1995,3,no,1,12,12,12:30:00 AM,Reading a book in the sun,Listening to music
AI,yes,1,mu,ja,female,fat,August 9,2,no,20,5,8,12:00:00 AM,friend,sun
Computer Science,no,0,mu,ja,male,fat,27/10/1994,0,no,70,5,27,11:30:00 PM,"tasty food, indulging in things I enjoy, good progress on work and being healthy","tasty food, indulging in things I enjoy, good progress on work and being healthy"
Msc Artificial Intelligence,yes,1,mu,ja,female,fat,18-11-1993,6,no,86,5,42,11:00:00 PM,Friends,Pie
CS,no,0,mu,ja,male,fat,27/10/1994,0,no,72,5,9,12:00:00 AM,Delicious Food,Reading
Computational Science,no,0,mu,nee,male,neither,13/05/1996,1,no,10,0,"29474721,43",11:00:00 PM,Sunny,Accomplished something
MSc Econometrics,no,0,mu,nee,male,fat,20/12/1996,0,no,100,0,4,12:00:00 AM,study,study
Master Business Administration: Digital Business and Innovation,yes,0,mu,ja,male,fat,16-02,0,no,60,5,9,12:00:00 AM,Productivity,Good Workout
computer science,yes,1,mu,ja,female,neither,216,0,no,10,0%  100%,4,4:00:00 AM,new thoughts,nature
AI,no,0,mu,nee,female,fat,-,1,no,-,-,7,12:00:00 AM,-,-
QRM,no,0,sigma,nee,female,fat,719,0,no,80,20,7,12:00:00 AM,nice weather,exercise
Econometrics and Operations Research,yes,0,mu,nee,female,fat,1992.02.11,4,no,60,50,7,1:00:00 PM,a good shopping,a good sleep
Business Analytics,yes,0,sigma,ja,male,fat,15-04-1998,0,no,30,1,8,11:00:00 PM,Food,TV
MSc AI (cognitive science track),no,0,mu,unknown,female,neither,06/08/1992,"how  can I know this, I live in an 8 floor building.",no,10,30,6,1:30:00 AM,accomplishment,making someone else happy
Computational Science,yes,0,mu,ja,male,fat,23-10-1995,5,no,30,60,7,12:00:00 AM,Sunshine,Friends
Computer Science,no,1,mu,nee,female,fat,16 May,right now 0,yes,90,50,15,11:30:00 PM,super good indian or italian food,stressing less over course
Mechenaical Engineering,yes,1,mu,nee,male,fat,17-09-1993,2,no,69,5,6,1:00:00 AM,no corona,no corona 2
CS,no,0,mu,ja,male,fat,28/10,0,no,10,100,7,9:45:00 PM,Netflix,Chill
Artificial Intelligence,yes,1,mu,ja,male,neither,26-07-1994,12,yes,60,75,42,1:37:00 PM,Finishing all tasks,Finding an extra package of ice cream
Artificial Intelligence,no,0,mu,nee,female,neither,3/4/1998,1,no,70,2,69,12:00:00 AM,Food,Orgasm
Artificial Intelligence,yes,1,sigma,nee,male,fat,10-11-1995,0,no,30,10,-1,8:00:00 PM,Chocolate,Being slim
